name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,reference,Additional references
Shewanella xiamenensis,332186,opportunistic,,gut,,established,FALSE,,human,"Zong, Zhiyong. ""Nosocomial peripancreatic infection associated with Shewanella xiamenensis.""Journal of medical microbiology60.9 (2011): 1387-1390.",
Nocardia colli,2545717,opportunistic,,"abscess, blood, skin",,established,FALSE,,human,"Zhou, Tao, et al. ""Nocardia colli sp. nov., a new pathogen isolated from a patient with primary cutaneous nocardiosis."" International journal of systematic and evolutionary microbiology 70.5 (2020): 2981.",
Paenibacillus assamensis DSM 18201,1122916,potential,,blood,,putative,FALSE,,human,"Zhang, Enmin, et al. ""Paenibacillus assamensis in Joint Fluid of Man with Suspected Tularemia, China.""Emerging infectious diseases24.8 (2018): 1589.",
Mycoplasma hominis,2098,opportunistic,,urogenital,,established,FALSE,,human,"Zdrodowska-Stefanow, B., et al. ""Ureaplasma urealyticum and Mycoplasma hominis infection in women with urogenital diseases.""Adv Med Sci51.1 (2006): 250-253.",
Streptococcus oralis subsp. tigurinus 2425,1333864,potential,,blood,oral,established,FALSE,,human,"Zbinden, Andrea, et al. ""Streptococcus tigurinus sp. nov., isolated from blood of patients with endocarditis, meningitis and spondylodiscitis.""International journal of systematic and evolutionary microbiology62.Pt_12 (2012): 2941-2945.",
Empedobacter falsenii,343874,opportunistic,,"abscess, blood, resp, urine",,putative,FALSE,,human,"Zaman, Kamran, et al. ""Empedobacter Falsenii: a Rare Non-Fermenter Causing Urinary Tract Infection in a Child with Carcinoma Bladder.""of3 (2017): 2.",
Thomasclavelia ramosa,1547,commensal,,blood,"gut, stool",putative,FALSE,,human,"Zakham, Fathiah, et al. ""Molecular diagnosis and enrichment culture identified a septic pseudoarthrosis due to an infection with Erysipelatoclostridium ramosum.""International Journal of Infectious Diseases81 (2019): 167-169.",
Laribacter hongkongensis,168471,potential,,"blood, stool",,established,FALSE,,human,"Yuen, Kwok-Yung, et al. ""Laribacter hongkongensis gen. nov., sp. nov., a novel gram-negative bacterium isolated from a cirrhotic patient with bacteremia and empyema.""Journal of clinical microbiology39.12 (2001): 4227-4232.",
Staphylococcus gallinarum,1293,potential,,blood,oral,established,FALSE,,human,"Yu, Daojun, et al. ""Staphylococcus gallinarum bacteremia in a patient with chronic hepatitis b virus infection.""Annals of Clinical & Laboratory Science38.4 (2008): 401-404.",
Bacteroides salyersiae,291644,potential,,gut,gut,putative,FALSE,,human,"Yoon, Jihoon G., et al. ""Bacteroides nordii and Bacteroides salyersiae Isolated from Post-operative Peritonitis Patients.""Laboratory Medicine Online6.2 (2016): 111-115.",
